Category,Word,Part of Speech,Traditional Chinese,Definition,Example Sentence,Difficulty
Verbs - Action,go,verb,去,to move from one place to another,I go to work by bus.,easy
Verbs - Action,come,verb,來,to move toward the speaker,"Come here, please.",easy
Verbs - Action,get,verb,拎 / 攞 / 買 (視乎語境),to obtain or receive,I need to get groceries.,easy
Verbs - Action,make,verb,做製作,to create or produce,She makes her own clothes.,easy
Verbs - Action,take,verb,拿帶,to carry or bring,Take an umbrella with you.,easy
Verbs - Action,give,verb,給,to hand something to someone,He gave her flowers.,easy
Verbs - Action,put,verb,放置,to place something somewhere,Put it on the table.,easy
Verbs - Action,use,verb,使用,to employ something for a purpose,She uses public transport.,easy
Verbs - Action,find,verb,找到,to discover something,I can't find my keys.,easy
Verbs - Action,know,verb,知道,to be aware of something,Do you know the answer?,easy
Verbs - Action,think,verb,認為思考,to use your mind,I think we should leave.,easy
Verbs - Action,see,verb,看見,to perceive with your eyes,I can see the mountains.,easy
Verbs - Action,look,verb,看,to direct your gaze,Look at this!,easy
Verbs - Action,want,verb,想要,to desire something,I want a coffee.,easy
Verbs - Action,need,verb,需要,to require something,She needs more time.,easy
Verbs - Action,like,verb,喜歡,to enjoy or find pleasant,I like reading.,easy
Verbs - Action,love,verb,愛,to feel deep affection,He loves his family.,easy
Verbs - Action,hate,verb,討厭,to strongly dislike,She hates waking up early.,easy
Verbs - Action,say,verb,說,to speak words,What did she say?,easy
Verbs - Action,tell,verb,告訴,to communicate information,Tell me what happened.,easy
Verbs - Action,ask,verb,問要求,to request information,She asked for directions.,easy
Verbs - Action,answer,verb,回答,to respond to a question,He answered the phone.,easy
Verbs - Action,help,verb,幫助,to assist someone,Can you help me?,easy
Verbs - Action,work,verb,工作,to do a job,She works hard every day.,easy
Verbs - Action,play,verb,玩演奏,to engage in activity for fun,The kids are playing outside.,easy
Verbs - Action,run,verb,跑,to move quickly on foot,He runs every morning.,easy
Verbs - Action,walk,verb,走路,to move on foot,They walk to school.,easy
Verbs - Action,sit,verb,坐,to rest on your bottom,Please sit down.,easy
Verbs - Action,stand,verb,站立,to be upright on your feet,Please stand straight.,easy
Verbs - Action,lie,verb,躺,to rest flat on a surface,Lie down and rest.,easy
Verbs - Action,eat,verb,吃,to consume food,We eat dinner at 7.,easy
Verbs - Action,drink,verb,喝,to swallow liquid,Drink plenty of water.,easy
Verbs - Action,sleep,verb,睡覺,to rest with eyes closed,He sleeps eight hours a night.,easy
Verbs - Action,wake,verb,醒來,to stop sleeping,She wakes up at 6am.,easy
Verbs - Action,buy,verb,買,to get something by paying,I need to buy groceries.,easy
Verbs - Action,sell,verb,賣,to exchange something for money,She sells handmade jewellery.,easy
Verbs - Action,pay,verb,付款,to give money for something,Can I pay by card?,easy
Verbs - Action,spend,verb,花費度過,to use money or time,He spends too much on food.,easy
Verbs - Action,save,verb,儲存節省,to keep for future use,Try to save some money.,easy
Verbs - Action,open,verb,打開,to make something accessible,Open the door please.,easy
Verbs - Action,close,verb,關閉,to shut something,Close the window.,easy
Verbs - Action,start,verb,開始,to begin,Let's start the meeting.,easy
